,"Sat 4/26","Sun 4/27","Mon 4/28","Tue 4/29","Wed 4/30","Thu 5/1","Fri 5/2"
stats,"0-1 3.20 ERA","1-0 3.71 ERA","1-1 3.68 ERA","0-0 0.00 ERA","2-0 3.50 ERA",,"3-2 1.06 ERA"
oppBat,".222 0.7 HR 8.8 K",".222 0.7 HR 8.8 K",".260 0.8 HR 9.2 K",".260 0.8 HR 9.2 K",".260 0.8 HR 9.2 K",,".238 1.3 HR 9.0 K"
oppPitch,"M. Keller R","B. Falter L","E. Cabrera R","S. Alcantara R","C. Quantrill R",,"G. Holmes R"

MIA,"C. Gillispie (R)","M. Meyer (R)","E. Cabrera (R)","S. Alcantara (R)","C. Quantrill (R)","OFF DAY","C. Gillispie (R)"
game,"Sat 9:40pm @ SEA","Sun 4:10pm @ SEA","Mon 10:10pm @ LAD","Tue 10:10pm @ LAD","Wed 3:10pm @ LAD",,"Fri 7:10pm vs ATH"
stats,"0-2 6.75 ERA","2-2 2.10 ERA","0-1 6.14 ERA","2-2 6.56 ERA","2-2 7.83 ERA",,"0-2 6.75 ERA"
oppBat,".228 1.4 HR 9.2 K",".228 1.4 HR 9.2 K",".230 1.6 HR 8.5 K",".230 1.6 HR 8.5 K",".230 1.6 HR 8.5 K",,".256 1.4 HR 7.3 K"
oppPitch,"L. Castillo R","B. Miller R","D. May R","T. Gonsolin R","B. Casparius R",,"O. Bido R"

MIL,"Q. Priester (R)","J. Quintana (L)","OFF DAY","F. Peralta (R)","T. Myers (R)","C. Patrick (R)","Q. Priester (R)"
game,"Sat 2:15pm @ STL","Sun 2:15pm @ STL",,"Tue 7:40pm @ CWS","Wed 7:40pm @ CWS","Thu 2:10pm @ CWS","Fri 8:10pm vs CHC"
stats,"1-0 1.93 ERA","3-0 0.96 ERA",,"2-2 2.43 ERA","0-0 4.50 ERA","1-2 2.45 ERA","1-0 1.93 ERA"
oppBat,".265 0.9 HR 7.9 K",".265 0.9 HR 7.9 K",,".205 0.8 HR 8.7 K",".205 0.8 HR 8.7 K",".205 0.8 HR 8.7 K",".267 1.4 HR 8.4 K"
oppPitch,"S. Gray R","E. Fedde R",,"B. Wilson R","S. Smith R","S. Burke R","B. Brown R"

MIN,"S. Woods Richardson (R)","J. Ryan (R)","B. Ober (R)","C. Paddack (R)","P. Lopez (R)","S. Woods Richardson (R)","J. Ryan (R)"
game,"Sat 2:10pm vs LAA","Sun 1:40pm vs LAA","Mon 6:10pm @ CLE","Tue 6:10pm @ CLE","Wed 6:10pm @ CLE","Thu 1:10pm @ CLE","Fri 7:10pm @ BOS"
