Game Date,Team,Pitcher Name,Throws,Record,ERA,Opp Batt Avg,Opp Pitcher
2025-05-02,KC,M. Wacha,R,0-3,4.15,.223 1.3 HR 8.5 K,C. Morton R
2025-04-26,LAA,Y. Kikuchi,L,0-3,3.38,.219 0.8 HR 8.2 K,S. Woods Richardson R
2025-04-27,LAA,J. Soriano,R,2-3,4.34,.219 0.8 HR 8.2 K,J. Ryan R
2025-04-29,LAA,J. Kochanowicz,R,1-3,5.47,.228 1.4 HR 9.2 K,E. Hancock R
2025-04-30,LAA,T. Anderson,L,2-0,2.60,.228 1.4 HR 9.2 K,B. Woo R
2025-05-01,LAA,K. Hendricks,R,0-3,6.65,.246 1.0 HR 9.1 K,C. Mize R
2025-05-02,LAA,Y. Kikuchi,L,0-3,3.38,.246 1.0 HR 9.1 K,T. Skubal L
2025-04-26,LAD,R. Sasaki,R,0-1,3.20,.222 0.7 HR 8.8 K,M. Keller R
2025-04-27,LAD,T. Glasnow,R,1-0,3.71,.222 0.7 HR 8.8 K,B. Falter L
2025-04-28,LAD,D. May,R,1-1,3.68,.260 0.8 HR 9.2 K,E. Cabrera R
2025-04-29,LAD,T. Gonsolin,R,0-0,0.00,.260 0.8 HR 9.2 K,S. Alcantara R
2025-04-30,LAD,B. Casparius,R,2-0,3.50,.260 0.8 HR 9.2 K,C. Quantrill R
2025-05-02,LAD,Y. Yamamoto,R,3-2,1.06,.238 1.3 HR 9.0 K,G. Holmes R
2025-04-26,MIA,C. Gillispie,R,0-2,6.75,.228 1.4 HR 9.2 K,L. Castillo R
2025-04-27,MIA,M. Meyer,R,2-2,2.10,.228 1.4 HR 9.2 K,B. Miller R
2025-04-28,MIA,E. Cabrera,R,0-1,6.14,.230 1.6 HR 8.5 K,D. May R
2025-04-29,MIA,S. Alcantara,R,2-2,6.56,.230 1.6 HR 8.5 K,T. Gonsolin R
2025-04-30,MIA,C. Quantrill,R,2-2,7.83,.230 1.6 HR 8.5 K,B. Casparius R
2025-05-02,MIA,C. Gillispie,R,0-2,6.75,.256 1.4 HR 7.3 K,O. Bido R
2025-04-26,MIL,Q. Priester,R,1-0,1.93,.265 0.9 HR 7.9 K,S. Gray R
2025-04-27,MIL,J. Quintana,L,3-0,0.96,.265 0.9 HR 7.9 K,E. Fedde R
2025-04-29,MIL,F. Peralta,R,2-2,2.43,.205 0.8 HR 8.7 K,B. Wilson R
2025-04-30,MIL,T. Myers,R,0-0,4.50,.205 0.8 HR 8.7 K,S. Smith R
2025-05-01,MIL,C. Patrick,R,1-2,2.45,.205 0.8 HR 8.7 K,S. Burke R
2025-05-02,MIL,Q. Priester,R,1-0,1.93,.267 1.4 HR 8.4 K,B. Brown R
2025-04-26,MIN,S. Woods Richardson,R,1-2,4.74,.217 1.5 HR 9.5 K,Y. Kikuchi L
2025-04-27,MIN,J. Ryan,R,1-2,4.00,.217 1.5 HR 9.5 K,J. Soriano R
2025-04-28,MIN,B. Ober,R,2-1,5.04,.235 1.2 HR 7.8 K,G. Williams R
2025-04-29,MIN,C. Paddack,R,0-3,6.45,.235 1.2 HR 7.8 K,T. Bibee R
2025-04-30,MIN,P. Lopez,R,2-1,2.08,.235 1.2 HR 7.8 K,L. Ortiz R
2025-05-01,MIN,S. Woods Richardson,R,1-2,4.74,.235 1.2 HR 7.8 K,B. Lively R
